elecnum,distname,distcode,munname1,munname2,muncode,nkneeds
28,岩手１区,301,下閉伊郡,田老町,NA,NA
28,岩手１区,301,下閉伊郡,普代村,NA,NA
28,岩手１区,301,釜石市,釜石市,NA,NA
28,岩手１区,301,岩手郡,葛巻町,NA,NA
28,岩手１区,301,岩手郡,岩手町,NA,NA
28,岩手１区,301,岩手郡,玉山村,NA,NA
28,岩手１区,301,岩手郡,雫石町,NA,NA
28,岩手１区,301,岩手郡,松尾村,NA,NA
28,岩手１区,301,岩手郡,西根村,NA,NA
28,岩手１区,301,岩手郡,滝沢村,NA,NA
28,岩手１区,301,久慈市,久慈市,NA,NA
28,岩手１区,301,宮古市,宮古市,NA,NA
28,岩手１区,301,九戸郡,九戸村,NA,NA
28,岩手１区,301,九戸郡,軽米町,NA,NA
28,岩手１区,301,九戸郡,山形村,NA,NA
28,岩手１区,301,九戸郡,種市町,NA,NA
28,岩手１区,301,九戸郡,大野村,NA,NA
28,岩手１区,301,九戸郡,野田村,NA,NA
28,岩手１区,301,紫波郡,紫波町,NA,NA
28,岩手１区,301,紫波郡,都南村,NA,NA
28,岩手１区,301,紫波郡,矢巾村,NA,NA
28,岩手１区,301,上閉伊郡,宮守村,NA,NA
28,岩手１区,301,上閉伊郡,大槌町,NA,NA
28,岩手１区,301,盛岡市,盛岡市,NA,NA
28,岩手１区,301,二戸郡,安代町,NA,NA
28,岩手１区,301,二戸郡,一戸町,NA,NA
28,岩手１区,301,二戸郡,金田一村,NA,NA
28,岩手１区,301,二戸郡,浄法寺町,NA,NA
28,岩手１区,301,二戸郡,福岡町,NA,NA
28,岩手２区,302,一関市,一関市,NA,NA
28,岩手２区,302,花巻市,花巻市,NA,NA
28,岩手２区,302,気仙郡,三陸村,NA,NA
28,岩手２区,302,気仙郡,住田町,NA,NA
28,岩手２区,302,江刺郡,江刺町,NA,NA
28,岩手２区,302,水沢市,水沢市,NA,NA
28,岩手２区,302,西磐井郡,花泉町,NA,NA
28,岩手２区,302,西磐井郡,平泉町,NA,NA
28,岩手２区,302,大船渡市,大舟渡市,NA,NA
28,岩手２区,302,胆沢郡,衣川村,NA,NA
28,岩手２区,302,胆沢郡,金ケ崎町,NA,NA
28,岩手２区,302,胆沢郡,前沢町,NA,NA
28,岩手２区,302,胆沢郡,胆沢村,NA,NA
28,岩手２区,302,東磐井郡,室根村,NA,NA
28,岩手２区,302,東磐井郡,松川村,NA,NA
28,岩手２区,302,東磐井郡,千厩町,NA,NA
28,岩手２区,302,東磐井郡,川崎村,NA,NA
28,岩手２区,302,東磐井郡,大東町,NA,NA
28,岩手２区,302,東磐井郡,東山村,NA,NA
28,岩手２区,302,東磐井郡,藤沢町,NA,NA
28,岩手２区,302,稗貫郡,石鳥谷町,NA,NA
28,岩手２区,302,稗貫郡,大迫町,NA,NA
28,岩手２区,302,北上市,北上市,NA,NA
28,岩手２区,302,陸前高田市,陸前高田市,NA,NA
28,岩手２区,302,和賀郡,江釣子村,NA,NA
28,岩手２区,302,和賀郡,沢内村,NA,NA
28,岩手２区,302,和賀郡,東和町,NA,NA
28,岩手２区,302,和賀郡,湯田村,NA,NA
28,岩手２区,302,和賀郡,和賀町,NA,NA
28,宮城１区,401,伊具郡,角田町,NA,NA
28,宮城１区,401,伊具郡,丸森町,NA,NA
28,宮城１区,401,遠田郡,小牛田町,NA,NA
28,宮城１区,401,遠田郡,田尻町,NA,NA
28,宮城１区,401,遠田郡,南郷町,NA,NA
28,宮城１区,401,遠田郡,涌谷町,NA,NA
28,宮城１区,401,塩釜市,塩釜市,NA,NA
28,宮城１区,401,加美郡,宮崎町,NA,NA
28,宮城１区,401,加美郡,小野田町,NA,NA
28,宮城１区,401,加美郡,色麻村,NA,NA
28,宮城１区,401,加美郡,中新田町,NA,NA
28,宮城１区,401,刈田郡,七ケ宿町,NA,NA
28,宮城１区,401,刈田郡,蔵王町,NA,NA
28,宮城１区,401,宮城郡,宮城村,NA,NA
28,宮城１区,401,宮城郡,七ケ浜村,NA,NA
28,宮城１区,401,宮城郡,松島町,NA,NA
28,宮城１区,401,宮城郡,泉町,NA,NA
28,宮城１区,401,宮城郡,多賀城町,NA,NA
28,宮城１区,401,宮城郡,利府村,NA,NA
28,宮城１区,401,古川市,古川市,NA,NA
28,宮城１区,401,黒川郡,大郷村,NA,NA
28,宮城１区,401,黒川郡,大衡村,NA,NA
28,宮城１区,401,黒川郡,大和町,NA,NA
28,宮城１区,401,黒川郡,富谷村,NA,NA
28,宮城１区,401,志田郡,三本木町,NA,NA
28,宮城１区,401,志田郡,鹿島台町,NA,NA
28,宮城１区,401,志田郡,松山町,NA,NA
28,宮城１区,401,柴田郡,柴田町,NA,NA
28,宮城１区,401,柴田郡,川崎町,NA,NA
28,宮城１区,401,柴田郡,村田町,NA,NA
28,宮城１区,401,柴田郡,大河原町,NA,NA
28,宮城１区,401,仙台市,仙台市,NA,NA
28,宮城１区,401,白石市,白石市,NA,NA
28,宮城１区,401,名取郡,岩沼町,NA,NA
28,宮城１区,401,名取郡,秋保村,NA,NA
28,宮城１区,401,名取郡,名取町,NA,NA
28,宮城１区,401,亘理郡,山元町,NA,NA
28,宮城１区,401,亘理郡,亘理町,NA,NA
28,宮城２区,402,牡鹿郡,稲井村,NA,NA
28,宮城２区,402,牡鹿郡,牡鹿町,NA,NA
28,宮城２区,402,牡鹿郡,女川町,NA,NA
28,宮城２区,402,牡鹿郡,渡波町,NA,NA
28,宮城２区,402,気仙沼市,気仙市,NA,NA
28,宮城２区,402,玉造郡,岩出山町,NA,NA
28,宮城２区,402,玉造郡,鳴子町,NA,NA
28,宮城２区,402,栗原郡,一迫町,NA,NA
28,宮城２区,402,栗原郡,鴬沢町,NA,NA
28,宮城２区,402,栗原郡,花山村,NA,NA
28,宮城２区,402,栗原郡,金成町,NA,NA
28,宮城２区,402,栗原郡,栗駒町,NA,NA
28,宮城２区,402,栗原郡,高清水町,NA,NA
28,宮城２区,402,栗原郡,志波姫町,NA,NA
28,宮城２区,402,栗原郡,若柳町,NA,NA
28,宮城２区,402,栗原郡,瀬峰町,NA,NA
28,宮城２区,402,栗原郡,築館町,NA,NA
28,宮城２区,402,石巻市,石巻市,NA,NA
28,宮城２区,402,登米郡,石越村,NA,NA
28,宮城２区,402,登米郡,中田町,NA,NA
28,宮城２区,402,登米郡,登米町,NA,NA
28,宮城２区,402,登米郡,東和町,NA,NA
28,宮城２区,402,登米郡,南方村,NA,NA
28,宮城２区,402,登米郡,迫町,NA,NA
